Azione	Utente	Nome	Eccezioni
Consenti	Everyone	App in pacchetto: MicrosoftWindows.Client.CBS firmato da Microsoft Windows	
Nega	Everyone	App in pacchetto: Microsoft.StorePurchaseApp firmato da Microsoft Corporation	
Nega	Everyone	App in pacchetto: Microsoft.Windows.Photos firmato da Microsoft Corporation	
Consenti	Everyone	App in pacchetto: Microsoft.ScreenSketch firmato da Microsoft Corporation	
Nega	Everyone	App in pacchetto: MicrosoftWindows.LKG.DesktopSpotlight firmato da Microsoft Windows	
Nega	Everyone	App in pacchetto: MSTeams firmato da Microsoft Corporation	
Nega	Everyone	App in pacchetto: Microsoft.YourPhone firmato da Microsoft Corporation	
Consenti	Everyone	App in pacchetto: Microsoft.AV1VideoExtension firmato da Microsoft Corporation	
Consenti	Everyone	App in pacchetto: Microsoft.WebpImageExtension firmato da Microsoft Corporation	
Nega	Everyone	App in pacchetto: Microsoft.XboxSpeechToTextOverlay firmato da Microsoft Corporation	
Consenti	Everyone	App in pacchetto: MicrosoftWindows.LKG.AccountsService firmato da Microsoft Windows	
Nega	Everyone	App in pacchetto: Microsoft.OutlookForWindows firmato da Microsoft Corporation	
Consenti	Everyone	App in pacchetto: MicrosoftWindows.Client.Core firmato da Microsoft Windows	
Nega	Everyone	App in pacchetto: MicrosoftWindows.LKG.SpeechRuntime firmato da Microsoft Windows	
Consenti	Everyone	App in pacchetto: Microsoft.WindowsTerminal firmato da Microsoft Corporation	
Nega	Everyone	App in pacchetto: Clipchamp.Clipchamp firmato da Microsoft Corp.	
Consenti	Everyone	App in pacchetto: MicrosoftCorporationII.QuickAssist firmato da Microsoft Corp.	
Nega	Everyone	App in pacchetto: Microsoft.Windows.CloudExperienceHost firmato da E-mail, telefono o Skype	
Consenti	Everyone	App in pacchetto: Microsoft.BioEnrollment firmato da Microsoft Corporation	
Nega	Everyone	App in pacchetto: Microsoft.BingSearch firmato da Microsoft Corporation	
Consenti	Everyone	App in pacchetto: Microsoft.WindowsNotepad firmato da Microsoft Corporation	
Nega	Everyone	App in pacchetto: Microsoft.Windows.StartMenuExperienceHost firmato da ms-resource:StartMenuExperienceHost/PublisherDisplayName	
Consenti	Everyone	App in pacchetto: Microsoft.WindowsCamera firmato da Microsoft Corporation	
Nega	Everyone	App in pacchetto: Microsoft.BingNews firmato da Microsoft Corporation	
Consenti	Everyone	App in pacchetto: Microsoft.Win32WebViewHost firmato da Microsoft Corporation	
Consenti	Everyone	App in pacchetto: Microsoft.ApplicationCompatibilityEnhancements firmato da Microsoft Corporation	
Nega	Everyone	App in pacchetto: Microsoft.WindowsStore firmato da Microsoft Corporation	
Consenti	Everyone	App in pacchetto: Microsoft.Windows.XGpuEjectDialog firmato da Microsoft Corporation	
Consenti	Everyone	App in pacchetto: Microsoft.MicrosoftStickyNotes firmato da Microsoft Corporation	
Consenti	Everyone	App in pacchetto: Microsoft.MicrosoftEdge.Stable firmato da Microsoft Corporation	
Consenti	Everyone	App in pacchetto: Windows.CBSPreview firmato da Microsoft Corporation	
Consenti	Everyone	App in pacchetto: Microsoft.MPEG2VideoExtension firmato da Microsoft Corporation	
Consenti	Everyone	App in pacchetto: Microsoft.WindowsCalculator firmato da Microsoft Corporation	
Consenti	Everyone	App in pacchetto: Microsoft.Windows.SecureAssessmentBrowser firmato da Microsoft Corporation	
Consenti	Everyone	App in pacchetto: Microsoft.Windows.PrintQueueActionCenter firmato da Microsoft Corporation	
Consenti	Everyone	App in pacchetto: Windows.PrintDialog firmato da Microsoft Corporation	
Consenti	Everyone	App in pacchetto: MicrosoftWindows.Client.WebExperience firmato da Microsoft Windows	
Consenti	Everyone	App in pacchetto: Microsoft.WebMediaExtensions firmato da Microsoft Corporation	
Consenti	Everyone	App in pacchetto: windows.immersivecontrolpanel firmato da Microsoft Corporation	
Nega	Everyone	App in pacchetto: Microsoft.Copilot firmato da Microsoft Corporation	
Consenti	Everyone	App in pacchetto: Microsoft.AVCEncoderVideoExtension firmato da Microsoft Corporation	
