"Service","StartType","Status","Description"
"AarSvc","Manual","Stopped","Runtime for activating conversational agent applications"
"ALG","Manual","Stopped","Fornisce supporto per plug-in di protocolli di terze parti per Condivisione connessione Internet"
"AppIDSvc","Auto","Running","Determina e verifica l'identità di un'applicazione. La disabilitazione di questo servizio impedirà l'imposizione di AppLocker."
"Appinfo","Manual","Running","Facilita l'esecuzione di applicazioni interattive con privilegi amministrativi aggiuntivi. Se questo servizio viene arrestato, gli utenti non potranno eseguire le applicazioni con i privilegi amministrativi aggiuntivi eventualmente necessari per lo svolgimento di determinate attività utente."
"AppMgmt","Manual","Running","Elabora le richieste di installazione, rimozione ed enumerazione per il software distribuito tramite Criteri di gruppo. Se il servizio è disabilitato, non sarà possibile installare, rimuovere o enumerare il software distribuito tramite Criteri di gruppo né avviare i servizi che dipendono esplicitamente da esso."
"AppReadiness","Manual","Stopped","Consente di preparare le app per l'utilizzo al primo accesso dell'utente al PC e all'aggiunta di nuove app."
"AppVClient","Disabled","Stopped","Manages App-V users and virtual applications"
"AppXSvc","Manual","Stopped","Offre supporto infrastrutturale per la distribuzione di applicazioni dello Store. Questo servizio viene avviato su richiesta e, se disabilitato, le applicazioni dello Store non verranno distribuite nel sistema e potrebbero non funzionare correttamente."
"ApxSvc","Manual","Stopped","Gestisce i dispositivi audio virtuali per i programmi basati su Windows.  Se il servizio viene arrestato, i dispositivi audio virtuali non funzioneranno correttamente.  Se questo servizio è disabilitato, non sarà possibile avviare tutti i servizi che dipendono esplicitamente da esso"
"AssignedAccessManagerSvc","Manual","Stopped","Il servizio AssignedAccessManager supporta l'esperienza in modalità chiosco in Windows."
"AudioEndpointBuilder","Auto","Running","Gestisce i dispositivi audio per il servizio Audio Windows. Se questo servizio viene arrestato, gli effetti e i dispositivi audio non funzioneranno correttamente. Se questo servizio viene disattivato, non sarà possibile avviare i servizi che dipendono da esso in modo esplicito"
"Audiosrv","Auto","Running","Gestisce l'audio per le applicazioni basate su Windows. Se questo servizio viene arrestato, gli effetti e i dispositivi audio non funzioneranno correttamente. Se questo servizio viene disattivato, non sarà possibile avviare i servizi che dipendono da esso in modo esplicito."
"autotimesvc","Manual","Stopped","Questo servizio imposta l'ora in base ai messaggi NITZ provenienti da una rete mobile"
"AxInstSV","Manual","Stopped","Fornisce la convalida del controllo dell'account utente per l'installazione dei controlli ActiveX da Internet e consente la gestione dell'installazione dei controlli ActiveX in base alle impostazioni di Criteri di gruppo. Il servizio viene avviato su richiesta e, nel caso venga disattivato, il comportamento dell'installazione dei controlli ActiveX dipenderà dalle impostazioni del browser predefinito."
"BcastDVRUserService","Manual","Stopped","Questo servizio utente viene utilizzato per le registrazioni di gioco e le trasmissioni in diretta"
"BDESVC","Manual","Running","BDESVC ospita il servizio Crittografia unità BitLocker. Questo servizio consente l'avvio sicuro del sistema operativo, nonché la crittografia dell'intero volume per il volume del sistema operativo, i volumi fissi o quelli rimovibili. Tramite questo servizio, BitLocker può richiedere agli utenti di eseguire varie azioni correlate ai volumi montati e consente di sbloccare automaticamente i volumi senza interazioni con gli utenti. Il servizio supporta inoltre l'archiviazione di informazioni per il ripristino in Active Directory, se disponibile. Se necessario, garantisce inoltre che vengano utilizzati i certificati di ripristino più recenti. L'arresto o la disabilitazione del servizio impedirebbe agli utenti di utilizzare queste funzionalità."
"BFE","Auto","Running","BFE (Base Filtering Engine) è un servizio per la gestione dei criteri firewall e IPSec (Internet Protocol Security) e l'implementazione del filtro delle modalità utente. L'arresto o la disattivazione del servizio BFE riduce in modo significativo la sicurezza del sistema e può causare un comportamento imprevedibile delle applicazioni di gestione IPSec e firewall."
"BITS","Manual","Running","Trasferisce i file in background utilizzando la larghezza di banda inattiva. Se il servizio è disabilitato, le applicazioni dipendenti da BITS, come Windows Update o MSN Explorer, non saranno in grado di effettuare il download automatico di programmi e altre informazioni."
"BluetoothUserService","Manual","Stopped","Il servizio utente Bluetooth consente il corretto funzionamento delle funzionalità Bluetooth relative a ogni sessione utente."
"BrokerInfrastructure","Auto","Running","Infrastruttura Windows che controlla quali attività in background possono essere eseguite nel sistema."
"BTAGService","Manual","Stopped","Servizio che supporta il ruolo gateway audio del profilo vivavoce Bluetooth."
"BthAvctpSvc","Manual","Stopped","Servizio Audio Video Control Transport Protocol"
"bthserv","Manual","Stopped","Il servizio Bluetooth supporta l'individuazione e l'associazione dei dispositivi Bluetooth remoti. L'arresto o la disabilitazione di questo servizio può causare il malfunzionamento dei dispositivi Bluetooth già installati e impedire l'individuazione o l'associazione di nuovi dispositivi."
"camsvc","Manual","Running","Fornisce funzionalità per la gestione dell'accesso di app piattaforma UWP (Universal Windows Platform) alle funzionalità dell'app, nonché il controllo dell'accesso di un'app a funzionalità specifiche dell'app"
"CaptureService","Manual","Stopped","Abilita la funzionalità facoltativa di acquisizione dello schermo per le applicazioni che chiamano l'API Windows.Graphics.Capture."
"cbdhsvc","Disabled","Stopped","Questo servizio utente viene usato per gli scenari relativi agli Appunti"
"CDPSvc","Manual","Stopped","Questo servizio è usato per gli scenari relativi alla piattaforma dispositivi connessi"
"CDPUserSvc","Auto","Stopped","Questo servizio utente è usato per gli scenari relativi alla piattaforma dispositivi connessi"
